Person,2017-07-04 10:46:00 - Otro Documento,2017-07-04 13:28:00 - P. Resolución N° 891,2017-07-04 13:29:00 - P. Resolución N° 892,2017-07-04 13:29:00 - P. Resolución N° 893,2017-07-04 13:30:00 - P. Resolución N° 894,2017-07-04 13:31:00 - Boletín N° 10545-08,2017-07-04 13:32:00 - Boletín N° 10545-08,2017-07-04 13:33:00 - Boletín N° 10545-08,2017-07-04 18:31:00 - Otro Documento,2017-07-05 13:56:00 - Boletín N° 10277-06,2017-07-05 13:57:00 - Boletín N° 10277-06,2017-07-05 13:58:00 - Boletín N° 10277-06,2017-07-05 13:59:00 - Boletín N° 10277-06,2017-07-05 14:00:00 - Boletín N° 10277-06,2017-07-05 18:02:00 - P. Resolución N° 941,2017-07-05 18:04:00 - P. Resolución N° 942,2017-07-05 18:05:00 - P. Resolución N° 943,2017-07-05 18:08:00 - P. Resolución N° 944,2017-07-06 12:18:00 - P. Resolución N° 947,2017-07-06 12:21:00 - Boletín N° 10207-10
"Sabat Fernández, Marcela",,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-1.0
"Rathgeb Schifferli, Jorge",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"Núñez Urrutia, Paulina",,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Paulsen Kehr, Diego",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"Monckeberg Bruner, Cristián",,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,
"García García, René Manuel",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Fuenzalida Figueroa, Gonzalo",,,,,,,,,,,,,,,,,,,,1.0
"Edwards Silva, Rojo",1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
"Berger Fett, Bernardo",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Becker Alvear, Germán",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"Monckeberg Díaz, Nicolás",,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Molina Oliva, Andrea",,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
"Morales Muñoz, Celso",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0
"Nogueira Fernández, Claudia",1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Norambuena Farías, Iván",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0,,1.0,1.0,1.0,1.0,,1.0
"Sandoval Plaza, David",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Silva Méndez, Ernesto",,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,,,,,,1.0
"Ulloa Aguillón, Jorge",1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Trisotti Martínez, Renzo",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Turres Figueroa, Marisol",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,,,,,,,,,,1.0,1.0
"Urrutia Soto, Osvaldo",,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
"Urrutia Bonilla, Ignacio",,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Squella Ovalle, Arturo",,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,,-2.0,-2.0,-2.0,-2.0,-2.0,,,,,,1.0
"Melero Abaroa, Patricio",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Alvarez-Salamanca Ramírez, Pedro Pablo",1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,-2.0
"Lavín León, Joaquín",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"Kort Garriga, Issa",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,,,,,,,,,,,,
"Hoffmann Opazo, María José",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
"Hernández Hernández, Javier",1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Hasbún Selume, Gustavo",,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
"Gutiérrez Pino, Romilio",,,,,,,,,,,,,,,,,,,,
"Gahona Salazar, Sergio",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,,,,,,,1.0,,1.0,,-1.0
"De Mussy Hiriart, Felipe",,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,-1.0
"Coloma Alamos, Juan Antonio",1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Bellolio Avaria, Jaime",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Barros Montero, Ramón",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Van Rysselberghe Herrera, Enrique",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,
"Macaya Danús, Javier",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,,,,,,,,,,1.0,1.0
"Ward Edwards, Felipe",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,1.0,,
