,Person,vote,date,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date1,dateDoc
2017-07-06 12:21:00,"De Mussy Hiriart, Felipe",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Gahona Salazar, Sergio",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Gutiérrez Gálvez, Hugo",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Jackson Drago, Giorgio",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Pacheco Rivas, Clemira",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Pérez Lahsen, Leopoldo",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Sabag Villalobos, Jorge",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Sabat Fernández, Marcela",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Saffirio Espinoza, René",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Sepúlveda Orbenes, Alejandra",En Contra,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
